ticker,issuer,primary_mechanism,secondary_mechanism,ecosystem_role,confidence
APD,"Air Products and Chemicals, Inc.",demand_pull_exposure,compliance_exposure,boundary_hydrogen_transition_platform,medium_high
BP,BP p.l.c.,demand_pull_exposure,compliance_exposure,boundary_integrated_major_with_saf_projects,medium
CVE,Cenovus Energy Inc.,compliance_exposure,demand_pull_exposure,adjacent_integrated_refiner_oil_sands_platform,medium_low
CVI,"CVR Energy, Inc.",compliance_exposure,demand_pull_exposure,boundary_refiner_with_renewable_fuels_and_rfs_obligations,medium_high
CVX,Chevron Corporation,demand_pull_exposure,compliance_exposure,boundary_integrated_major_with_renewable_fuels,medium
DK,"Delek US Holdings, Inc.",compliance_exposure,demand_pull_exposure,boundary_refiner_with_idled_biodiesel_assets,medium
EC,Ecopetrol S.A.,compliance_exposure,demand_pull_exposure,adjacent_integrated_energy_transition_platform,medium_low
EQNR,Equinor ASA,demand_pull_exposure,subsidy_exposure,adjacent_integrated_major_with_low_carbon_business,medium
GIII,ReGen III Corp.,demand_pull_exposure,compliance_exposure,adjacent_used_oil_recycling_platform,low
GLPEY,"Galp Energia, SGPS, S.A.",demand_pull_exposure,compliance_exposure,adjacent_refiner_building_saf_biodiesel_capacity,medium
IMO,Imperial Oil Limited,compliance_exposure,demand_pull_exposure,adjacent_integrated_refiner_with_renewable_diesel_reference,medium_low
LIN,Linde plc,demand_pull_exposure,compliance_exposure,boundary_industrial_gases_hydrogen_platform,medium_high
LODE,Comstock Inc.,subsidy_exposure,demand_pull_exposure,adjacent_cellulosic_fuels_and_saf_developer,medium_high
MMEX,MMEX Resources Corporation,subsidy_exposure,demand_pull_exposure,adjacent_clean_fuels_infrastructure_developer,low
MPC,Marathon Petroleum Corporation,compliance_exposure,credit_market_exposure,boundary_refiner_with_large_renewable_diesel_credit_stack,high
NEU,NewMarket Corporation,demand_pull_exposure,none_or_weak,adjacent_fuel_additives_supplier,medium
PARR,"Par Pacific Holdings, Inc.",compliance_exposure,credit_market_exposure,boundary_refiner_with_rin_optional_sale,medium_high
PBF,PBF Energy Inc.,compliance_exposure,credit_market_exposure,boundary_refiner_with_rin_lcfs_trading_links,medium_high
PBR,Petróleo Brasileiro S.A. - Petrobras,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_renewable_fuel_content_and_saf_pathway,medium
PCCYF,PetroChina Company Limited,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_hydrogen_transition_language,low
PSX,Phillips 66,demand_pull_exposure,compliance_exposure,boundary_refiner_with_dedicated_renewable_fuels_segment,high
SU,Suncor Energy Inc.,compliance_exposure,demand_pull_exposure,adjacent_integrated_major_with_renewable_fuels_investments,medium
TTE,TotalEnergies SE,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_saf_and_biorefinery_buildout,medium_high
XOM,Exxon Mobil Corporation,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_lower_emission_fuels_platform,medium
YPF,YPF Sociedad Anónima,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_new_energies_and_saf_optionality,medium
