ticker,ticker_raw_original,naics,cik,source_route,issuer,business_text_status,policy_relevance,primary_mechanism,secondary_mechanism,ecosystem_role,confidence,sample_decision,why_model_score_is_reasonable,possible_false_inflation_source,notes,extraction_priority,priority_rank,priority_rationale,recommended_next_action
ALTO,ALTO,[325193],778164.0,SEC_direct,"Alto Ingredients, Inc.",extracted_batch1,core,demand_pull_exposure,subsidy_exposure,core_low_carbon_fuel_tax_credit_player,medium_high,keep,Renewable fuels and feedstock links plus explicit 45Q/45Z and CCS economics in business text.,"Overlap across subsidy, demand-pull and credit-market language.",Batch1 manually calibrated anchor.,tier_1_core,1,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.
AMTX,AMTX,[325193],738214.0,SEC_direct,"Aemetis, Inc.",extracted_batch1,core,credit_market_exposure,compliance_exposure,core_low_carbon_fuel_credit_linked_producer,high,keep,"California ethanol, RNG and biodiesel operations align closely with low-carbon fuel policy channels.",Some compliance language may be genuine rather than false inflation.,Batch1 manually calibrated anchor.,tier_1_core,1,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.
APD,APD,[325120],2969.0,SEC_direct,"Air Products and Chemicals, Inc.",official_sec_evidence_reviewed,adjacent,demand_pull_exposure,compliance_exposure,boundary_hydrogen_transition_platform,medium_high,edge,"SEC materials emphasize low-carbon hydrogen, renewable hydrogen, and clean-energy applications, which supports demand-pull exposure tied to decarbonization markets.",Hydrogen-transition language may overstate direct sustainable-fuel exposure relative to the companys broader industrial-gases base.,Upgraded from batch1 anchor to official SEC evidence-reviewed status using annual-report language on low-carbon and renewable hydrogen projects.,tier_2_boundary,2,Boundary issuer now evidence-reviewed; useful for separating direct fuel-policy exposure from broader refining or transition exposure.,Completed official SEC evidence review; retain in boundary set for mechanism separation tests.
BCPC,BCPC,[325199],9326.0,SEC_direct,Balchem Corporation,extracted_batch1,non_core,compliance_exposure,none_or_weak,non_core_regulatory_control,high,control,"Heavy permit, FDA and environmental-regulation language naturally raises compliance exposure.",Generic regulatory language rather than fuel-policy mechanism text.,Batch1 manually calibrated anchor.,tier_4_control,4,Negative-control or generic-regulation text useful for false-positive checks.,Extract selectively for negative-control validation.
BLGO,BLGO,[325199],880242.0,SEC_direct,"BioLargo, Inc.",official_sec_evidence_reviewed,non_core,compliance_exposure,none_or_weak,non_core_water_treatment_environmental_control,medium,control,Environmental remediation and treatment language can mechanically overlap with regulatory and compliance vocabularies.,"PFAS, wastewater, and environmental-remediation text can mimic sustainability-policy wording without direct fuel-policy exposure.",Reclassified from adjacent edge to non-core control after SEC review showed a PFAS and water-treatment business rather than a fuel-policy operating profile.,tier_3_adjacent,3,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.
BP,BP,[324110],313807.0,SEC_direct,BP p.l.c.,official_sec_evidence_reviewed,adjacent,demand_pull_exposure,compliance_exposure,boundary_integrated_major_with_saf_projects,medium,edge,"SEC materials link bp to SAF project capacity and commercial SAF sales, supporting a real but boundary-level low-carbon fuel demand signal.",Large integrated-energy narrative can dilute the directness of renewable-fuels exposure in the total firm text.,Upgraded from preliminary to official SEC evidence-reviewed status using annual-report and 6-K language on SAF capacity and first commercial SAF sales.,tier_2_boundary,2,Boundary issuer now evidence-reviewed; useful for separating direct fuel-policy exposure from broader refining or transition exposure.,Completed official SEC evidence review; retain in boundary set for mechanism separation tests.
CE,CE,[325199],1306830.0,SEC_direct,Celanese Corporation,official_sec_evidence_reviewed,non_core,compliance_exposure,none_or_weak,non_core_specialty_chemicals_control,medium,control,Chemical-regulation language can create compliance overlap without a direct sustainable-fuels operating channel.,General chemicals regulation and plant operations language can mimic compliance-sensitive policy terms.,Official SEC materials confirm Celanese as a chemicals and specialty-materials company. It remains a non-core control.,tier_4_control,4,Negative-control or generic-regulation text useful for false-positive checks.,Extract selectively for negative-control validation.
CLMT,CLMT,[324110],1340122.0,SEC_direct,"Calumet, Inc.",official_sec_evidence_reviewed,core,subsidy_exposure,demand_pull_exposure,core_saf_renewable_diesel_producer,medium,keep,"SEC materials point to direct SAF and renewable diesel production, which fits strong subsidy and downstream low-carbon fuel demand channels.",Corporate restructuring and holding-company language may blur the renewable subsidiary share of overall business.,Upgraded from preliminary to evidence-reviewed using SEC materials referencing Montana Renewables as a SAF and renewable diesel producer.,tier_1_core,1,Highest value for mechanism calibration because issuer is likely a direct sustainable-fuel or policy-linked operating exposure.,Extract Item 1 Business next and run full manual calibration.
CVE,CVE,[324110],1475260.0,SEC_direct,Cenovus Energy Inc.,official_materials_reviewed,adjacent,compliance_exposure,demand_pull_exposure,adjacent_integrated_refiner_oil_sands_platform,medium_low,edge,A large refining footprint supports exposure to regulation and downstream fuel-market shifts even without a concentrated low-carbon fuel business.,Conventional refining and transportation-fuels language may overstate low-carbon policy fit.,Official annual-report materials confirm a large oil sands and refining base. The issuer remains adjacent rather than core because direct sustainable-fuel operating evidence is limited.,tier_3_adjacent,3,Useful for adjacent-transition calibration after core and boundary issuers are stabilized.,Extract after core set; use mainly to test spillover and adjacent-transition inflation.
CVI,CVI,[324110],1376139.0,SEC_direct,"CVR Energy, Inc.",official_sec_evidence_reviewed,adjacent,compliance_exposure,demand_pull_exposure,boundary_refiner_with_renewable_fuels_and_rfs_obligations,medium_high,edge,"SEC materials show a direct compliance channel through RFS obligations while also indicating renewable-fuels activity, making the compliance-primary label evidence-based.",Conventional refining language may dominate the text and blur the scale of the renewable-fuels contribution.,Upgraded from preliminary to official SEC evidence-reviewed status using materials describing both renewable-fuels activity and RFS blending or RIN purchase obligations.,tier_2_boundary,2,Boundary issuer now evidence-reviewed; useful for separating direct fuel-policy exposure from broader refining or transition exposure.,Completed official SEC evidence review; retain in boundary set for mechanism separation tests.
