ticker,issuer,route_type,review_status,source_quality,policy_relevance,primary_mechanism,secondary_mechanism,ecosystem_role,confidence,sample_decision,family_or_duplicate_link,why_classification_is_reasonable,main_uncertainty,next_action,notes
GELV,"Green Energy Live, Inc.",otc_profile_and_market_profile,provisional_otc_profile_reviewed,mixed_speculative,adjacent,demand_pull_exposure,subsidy_exposure,alt_speculative_biomass_to_energy_platform,low,edge,No confirmed duplicate in the current SEC-direct set.,"Public company profiles describe a biomass-to-energy and waste-management platform with biofuels language, which is directionally relevant but still development-stage.",The accessible evidence is profile-based and may overstate the maturity of the operating business.,Retain only as a speculative edge candidate.,"Useful for broad alt-source coverage, but too weak for integration use now."
HTPRF,HTC Purenergy Inc.,otc_profile_and_tsxv_cross_listing,official_otc_and_cross_listing_reviewed,good_non_sec_but_noncore,adjacent,compliance_exposure,demand_pull_exposure,alt_adjacent_co2_capture_and_extraction_platform,medium_low,edge,Likely economically linked to the same HTC Purenergy issuer represented by HTC.H in the queue.,"Available profiles describe CO2 capture and extraction technologies rather than a direct renewable-fuels operating platform, so the fit is adjacent at best.","The business description has shifted across sources, and the exact current operating focus is not fully clean.",Keep as adjacent only and avoid double counting with HTC.H.,More carbon-management than direct fuels.
MOTNF,PowerTap Hydrogen Capital Corp.,official_company_and_otc_profile,official_company_and_otc_reviewed,good_non_sec,adjacent,demand_pull_exposure,subsidy_exposure,alt_adjacent_hydrogen_fueling_platform,medium,edge,No confirmed duplicate in the current SEC-direct set.,"Company and market materials describe hydrogen production and fueling infrastructure, which fits an adjacent transition platform rather than a liquid-fuels operating issuer.",Hydrogen-fueling language may not map cleanly into the projects liquid sustainable-fuels mechanism set.,Retain as an adjacent hydrogen-transition candidate only.,Closest fit is as an alt analogue to APD/LIN type transition names.
PBR.A,Petrobras ADR A,family_duplicate,official_family_duplicate_reviewed,strong_but_duplicate,adjacent,demand_pull_exposure,compliance_exposure,alt_duplicate_of_petrobras_family,high,drop,Direct family duplicate of Petrobras already represented by PBR in the reviewed SEC-linked universe.,This is not a distinct operating issuer for calibration purposes; it maps to the same Petrobras family already covered elsewhere.,"None at the issuer-family level; the issue is duplication, not business identity.",Drop from the alt-source queue and map back to the Petrobras family entry.,Deduplicate rather than review as a separate issuer.
ECP.,Unresolved ECP ticker identity,identity_unresolved,identity_cleanup_reviewed,unclear,non_core,none_or_weak,none_or_weak,alt_unresolved_identity_cleanup_case,low,drop,No reliable issuer mapping established.,Current evidence does not support a stable mapping into the projects sustainable-fuels issuer universe.,The ticker label itself is ambiguous across markets and could map to unrelated issuers.,Exclude unless a clean issuer mapping is found later.,Best treated as unresolved noise.
ESYL,Easylink Solutions Corp.,otc_profile_and_company_site,identity_cleanup_reviewed,good_noncore,non_core,none_or_weak,compliance_exposure,alt_noncore_it_and_fintech_identity_cleanup,medium,drop,No relevant duplicate; simply outside the sector frame.,Current profiles describe an IT managed-services and fintech focus rather than energy or fuel operations.,None material to sector fit; the issuer is simply outside the project universe.,Drop from the alt-source queue.,No meaningful fuel-policy channel.
HESG,"Health Sciences Group, Inc.",otc_profile_and_market_profile,identity_cleanup_reviewed,good_noncore,non_core,none_or_weak,none_or_weak,alt_noncore_healthcare_identity_cleanup,medium,drop,No relevant duplicate; simply outside the sector frame.,"Available profiles place the issuer in healthcare, mobile apps, nutraceutical, or functional-food related activities rather than fuel production.","The exact healthcare sub-focus varies across sources, but none of them fit the fuel-policy universe.",Drop from the alt-source queue.,No plausible mechanism fit.
HTC.H,HTC Purenergy Inc. TSXV line,cross_listed_duplicate,official_family_duplicate_reviewed,strong_but_duplicate,adjacent,compliance_exposure,demand_pull_exposure,alt_duplicate_of_htc_purenergy_family,high,drop,Cross-listed duplicate of HTPRF / HTC Purenergy family.,This listing line does not represent a separate operating issuer for calibration purposes.,None at the issuer-family level; the issue is duplication.,Drop as a duplicate line and retain only one family representative if needed.,Cross-listing deduplication case.
IAHL,IAHL Corp.,otc_profile_review,provisional_otc_profile_reviewed,mixed_non_sec,adjacent,demand_pull_exposure,compliance_exposure,alt_adjacent_gas_capture_and_lng_services_platform,medium_low,edge,No confirmed duplicate in the current SEC-direct set.,"Profiles describe gas capture, cleaning, compression, LNG-related services, and alternative-energy engineering, which gives it adjacent energy-transition relevance.",The platform is broad and service-oriented rather than a direct low-carbon liquid-fuels operator.,Retain as a low-priority adjacent edge case only.,Closer to gas-services transition exposure than sustainable-fuels operating exposure.
LICH,LiveChain Inc.,otc_profile_review,identity_cleanup_reviewed,good_noncore,non_core,none_or_weak,none_or_weak,alt_noncore_live_streaming_and_public_chain_identity_cleanup,high,drop,No relevant duplicate; simply outside the sector frame.,"Recent profiles describe live-streaming and public-chain technology, while legacy references point to shell history, not an operating fuels business.",None material to sector fit; the issuer is outside the project universe.,Drop from the alt-source queue.,Clear identity mismatch.
SKGO,"SkyBridge Technology Group, Inc.",otc_profile_and_legacy_filing,provisional_otc_and_legacy_reviewed,mixed_legacy,adjacent,demand_pull_exposure,compliance_exposure,alt_legacy_green_products_and_fuel_additive_platform,low,edge,No confirmed duplicate in the current SEC-direct set.,"Legacy materials reference a fuel additive and green-products business, which creates a weak adjacent mechanism link.",The evidence base is dated and the issuer looks very small and illiquid.,Retain only as a low-confidence edge legacy name.,Legacy fuel-additive relevance is too weak for direct integration.
