logical_doc_id,policy,doc_type,source_family,source_file,doc_date,date_source_note,subsidy,compliance,credit_market,demand_pull,legal_weight,persistence,rationale,pulse_days,decay_days,kernel_amp
IRA_S13203,IRA,statute,IRA bill text,BILLS-117hr5376enr.pdf,2022-08-16,official event date,0.65,0.1,0.05,0.2,1.0,statute,Core clean fuel production credit text.,10,240,1.0
IRA_S40B,IRA,statute,IRA bill text,BILLS-117hr5376enr.pdf,2022-08-16,official event date,0.55,0.2,0.0,0.25,1.0,statute,SAF credit text with eligibility and sustainability conditions.,10,240,1.0
IRA_S13204,IRA,statute,IRA bill text,BILLS-117hr5376enr.pdf,2022-08-16,official event date,0.45,0.1,0.0,0.45,0.95,statute,Clean hydrogen subsidy with downstream low-carbon fuel relevance.,10,240,1.0
IRA_S45X,IRA,statute,IRA bill text,BILLS-117hr5376enr.pdf,2022-08-16,official event date,0.75,0.1,0.0,0.15,0.95,statute,Advanced manufacturing production credit.,10,240,1.0
IRA_TREAS,IRA,guidance,IRS notice,IRS_Notice_2023_6.pdf,2023-01-03,manual date inferred from IRS Notice 2023-6 release week,0.2,0.5,0.0,0.3,0.85,guidance,Initial SAF guidance and pathway clarification.,7,70,0.75
IRA_SAF_GREET,IRA,guidance,IRS notice,IRS_Notice_2024_6.pdf,2024-01-02,manual date inferred from IRS Notice 2024-6 release week,0.1,0.55,0.0,0.35,0.85,guidance,Lifecycle and certification guidance.,7,70,0.75
IRA_SAF_CSA,IRA,guidance,IRS notice,IRS_Notice_2024_37.pdf,2024-06-07,manual date approximated from IRS Notice 2024-37 release timing,0.15,0.45,0.0,0.4,0.8,guidance,CSA pilot and additional SAF guidance.,7,70,0.75
LCFS_CI,LCFS,amendment_notice,CARB proposed amendments notice,CARB_LCFS_2024_notice.pdf,2024-03-22,manual date inferred from 2024 CARB amendment notice cycle,0.05,0.5,0.15,0.3,0.85,amendment,CI benchmark stringency and amendments.,7,45,0.8
LCFS_COMPLY,LCFS,guidance,CARB annual reporting guidance,CARB_LCFS_Guidance_22_01_2024.pdf,2024-04-05,date encoded in source filename,0.0,0.75,0.2,0.05,0.9,guidance,Verification and reporting compliance.,7,70,0.75
LCFS_CREDIT,LCFS,credit_market_notice,CARB CCM notice,CARB_LCFS_2023_CCM_Compliance.pdf,2024-05-01,manual date inferred from 2024-05 source path,0.0,0.25,0.7,0.05,0.9,notice,Credit clearance market notice.,5,20,0.9
LCFS_REG_CORE,LCFS,regulation,CARB LCFS regulation,CARB_LCFS_2020_regulation.pdf,2020-06-30,date encoded in source filename,0.05,0.45,0.2,0.3,1.0,regulation,Base LCFS legal text.,10,220,0.95
RFS2_RESET,RFS2,epa_revision,EPA NPRM,remote_official_pdf,2021-12-07,date encoded in official URL,0.05,0.35,0.2,0.4,0.8,revision,Annual rules and reset authority.,7,45,0.8
RFS2_OBLIG,RFS2,compliance_guide,EPA compliance guide,remote_official_pdf,2021-08-01,month-level date inferred from official URL,0.0,0.7,0.25,0.05,0.9,guide,Obligated-party and compliance mechanics.,7,60,0.8
RFS2_RIN,RFS2,compliance_guide,EPA compliance guide,remote_official_pdf,2021-08-01,month-level date inferred from official URL,0.0,0.25,0.7,0.05,0.9,guide,RIN accumulation and carryover mechanics.,7,60,0.8
