ticker,issuer,primary_mechanism,secondary_mechanism,ecosystem_role,confidence,source_universe,lcfs_edge_bucket,lcfs_edge_weight_v2,lcfs_edge_rationale
APD,"Air Products and Chemicals, Inc.",demand_pull_exposure,compliance_exposure,boundary_hydrogen_transition_platform,medium_high,SEC_direct,exclude_from_lcfs_edge,0.0,"Hydrogen, additive, developer, or indirect transition profile does not justify inclusion in LCFS edge spillover tests."
BP,BP p.l.c.,demand_pull_exposure,compliance_exposure,boundary_integrated_major_with_saf_projects,medium,SEC_direct,low_indirect,0.25,"Integrated major, non-US refiner, or broader transition platform with only indirect LCFS relevance."
CVE,Cenovus Energy Inc.,compliance_exposure,demand_pull_exposure,adjacent_integrated_refiner_oil_sands_platform,medium_low,SEC_direct,low_indirect,0.25,"Integrated major, non-US refiner, or broader transition platform with only indirect LCFS relevance."
CVI,"CVR Energy, Inc.",compliance_exposure,demand_pull_exposure,boundary_refiner_with_renewable_fuels_and_rfs_obligations,medium_high,SEC_direct,high_direct,1.0,Direct boundary refiner or credit-linked renewable-fuels operator with the clearest LCFS-style mechanism link.
CVX,Chevron Corporation,demand_pull_exposure,compliance_exposure,boundary_integrated_major_with_renewable_fuels,medium,SEC_direct,low_indirect,0.25,"Integrated major, non-US refiner, or broader transition platform with only indirect LCFS relevance."
DK,"Delek US Holdings, Inc.",compliance_exposure,demand_pull_exposure,boundary_refiner_with_idled_biodiesel_assets,medium,SEC_direct,medium_partial,0.65,"Relevant renewable-fuels or biodiesel/SAF capacity link exists, but direct LCFS credit-channel fit is weaker."
EC,Ecopetrol S.A.,compliance_exposure,demand_pull_exposure,adjacent_integrated_energy_transition_platform,medium_low,SEC_direct,low_indirect,0.25,"Integrated major, non-US refiner, or broader transition platform with only indirect LCFS relevance."
EQNR,Equinor ASA,demand_pull_exposure,subsidy_exposure,adjacent_integrated_major_with_low_carbon_business,medium,SEC_direct,exclude_from_lcfs_edge,0.0,"Hydrogen, additive, developer, or indirect transition profile does not justify inclusion in LCFS edge spillover tests."
GIII,ReGen III Corp.,demand_pull_exposure,compliance_exposure,adjacent_used_oil_recycling_platform,low,SEC_direct,low_indirect,0.25,"Integrated major, non-US refiner, or broader transition platform with only indirect LCFS relevance."
GLPEY,"Galp Energia, SGPS, S.A.",demand_pull_exposure,compliance_exposure,adjacent_refiner_building_saf_biodiesel_capacity,medium,SEC_direct,medium_partial,0.65,"Relevant renewable-fuels or biodiesel/SAF capacity link exists, but direct LCFS credit-channel fit is weaker."
IMO,Imperial Oil Limited,compliance_exposure,demand_pull_exposure,adjacent_integrated_refiner_with_renewable_diesel_reference,medium_low,SEC_direct,low_indirect,0.25,"Integrated major, non-US refiner, or broader transition platform with only indirect LCFS relevance."
LIN,Linde plc,demand_pull_exposure,compliance_exposure,boundary_industrial_gases_hydrogen_platform,medium_high,SEC_direct,exclude_from_lcfs_edge,0.0,"Hydrogen, additive, developer, or indirect transition profile does not justify inclusion in LCFS edge spillover tests."
LODE,Comstock Inc.,subsidy_exposure,demand_pull_exposure,adjacent_cellulosic_fuels_and_saf_developer,medium_high,SEC_direct,exclude_from_lcfs_edge,0.0,"Hydrogen, additive, developer, or indirect transition profile does not justify inclusion in LCFS edge spillover tests."
MMEX,MMEX Resources Corporation,subsidy_exposure,demand_pull_exposure,adjacent_clean_fuels_infrastructure_developer,low,SEC_direct,exclude_from_lcfs_edge,0.0,"Hydrogen, additive, developer, or indirect transition profile does not justify inclusion in LCFS edge spillover tests."
MPC,Marathon Petroleum Corporation,compliance_exposure,credit_market_exposure,boundary_refiner_with_large_renewable_diesel_credit_stack,high,SEC_direct,high_direct,1.0,Direct boundary refiner or credit-linked renewable-fuels operator with the clearest LCFS-style mechanism link.
NEU,NewMarket Corporation,demand_pull_exposure,none_or_weak,adjacent_fuel_additives_supplier,medium,SEC_direct,exclude_from_lcfs_edge,0.0,"Hydrogen, additive, developer, or indirect transition profile does not justify inclusion in LCFS edge spillover tests."
PARR,"Par Pacific Holdings, Inc.",compliance_exposure,credit_market_exposure,boundary_refiner_with_rin_optional_sale,medium_high,SEC_direct,high_direct,1.0,Direct boundary refiner or credit-linked renewable-fuels operator with the clearest LCFS-style mechanism link.
PBF,PBF Energy Inc.,compliance_exposure,credit_market_exposure,boundary_refiner_with_rin_lcfs_trading_links,medium_high,SEC_direct,high_direct,1.0,Direct boundary refiner or credit-linked renewable-fuels operator with the clearest LCFS-style mechanism link.
PBR,Petróleo Brasileiro S.A. - Petrobras,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_renewable_fuel_content_and_saf_pathway,medium,SEC_direct,low_indirect,0.25,"Integrated major, non-US refiner, or broader transition platform with only indirect LCFS relevance."
PCCYF,PetroChina Company Limited,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_hydrogen_transition_language,low,SEC_direct,exclude_from_lcfs_edge,0.0,"Hydrogen, additive, developer, or indirect transition profile does not justify inclusion in LCFS edge spillover tests."
PSX,Phillips 66,demand_pull_exposure,compliance_exposure,boundary_refiner_with_dedicated_renewable_fuels_segment,high,SEC_direct,high_direct,1.0,Direct boundary refiner or credit-linked renewable-fuels operator with the clearest LCFS-style mechanism link.
SU,Suncor Energy Inc.,compliance_exposure,demand_pull_exposure,adjacent_integrated_major_with_renewable_fuels_investments,medium,SEC_direct,low_indirect,0.25,"Integrated major, non-US refiner, or broader transition platform with only indirect LCFS relevance."
TTE,TotalEnergies SE,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_saf_and_biorefinery_buildout,medium_high,SEC_direct,low_indirect,0.25,"Integrated major, non-US refiner, or broader transition platform with only indirect LCFS relevance."
XOM,Exxon Mobil Corporation,demand_pull_exposure,compliance_exposure,adjacent_integrated_major_with_lower_emission_fuels_platform,medium,SEC_direct,low_indirect,0.25,"Integrated major, non-US refiner, or broader transition platform with only indirect LCFS relevance."
